"study","graft_type","ni","mi","sdi","yi","vi","sei","zi","pval","ci.lb","ci.ub"
"Runer et al., 2023","B-QT",28,89.8,14.4,89.8,7.40571428571429,2.72134420566644,32.9983982963334,8.56364162855927e-239,84.466263367357,95.133736632643
"Lund et al., 2014","B-QT",21,75,18,75,15.4285714285714,3.92792202424786,19.0940653956493,2.82874355648227e-81,67.3014142983925,82.6985857016075
"Lind et al., 2020b","B-QT",47,73,16,73,5.4468085106383,2.33383986396631,31.2789241143298,9.02946156173991e-215,68.4257579209422,77.5742420790578
"Karpinski et al., 2021","B-QT",25,70.56,21.98,70.56,19.324816,4.396,16.0509554140127,5.62908152684069e-58,61.9439983239619,79.1760016760381
"Jacquet et al., 2021","B-QT",91,78.1,20.7,78.1,4.70868131868132,2.16994961201437,35.991619145248,1.13134707714265e-283,73.8469769121852,82.3530230878148
"Irrgang et al., 2021","B-QT",51,81.54,21.4,81.54,8.97960784313725,2.99659937981994,27.2108445824011,4.8335719736511e-163,75.6667731394579,87.4132268605422
"Cavaignac et al., 2017","B-QT",44,78,14.7,78,4.91113636363636,2.21610838264656,35.196834509894,2.23541600198172e-271,73.6565073841754,82.3434926158246
"Zhou et al., 2023","S-QT",107,67.17,4.29,67.17,0.172000934579439,0.41472995380059,161.960811811284,0,66.3571442272409,67.9828557727591
"Johnston et al., 2022","S-QT",32,73,19,73,11.28125,3.3587572106361,21.7342294848918,9.74041263209677e-105,66.416956834339,79.583043165661
"Johnston et al., 2021","S-QT",36,59.9,14.3,59.9,5.68027777777778,2.38333333333333,25.1328671328671,2.17554251795079e-139,55.2287525035129,64.5712474964871
"Hunnicutt et al., 2019","S-QT",15,60.25,21.76,60.25,31.5665066666667,5.61840784089823,10.7236786125458,7.88053629713474e-27,49.238122981382,71.261877018618
"Hogan et al., 2022","S-QT",30,64.4,26.3,64.4,23.0563333333333,4.80170108746196,13.4119135754117,5.14928126055046e-41,54.9888388040478,73.8111611959523
